Id,Nombre,NIT,TipoOperador,Estado,TieneEstaciones,NumEstaciones,Departamento,Municipio,Correo,FechaRegistro
1,OARE Prueba,1234567,Convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",,2020-12-24
2,Prueba Gencan,23456789,No convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",,2020-12-27
3,AES CHIVOR & CIA SCA ESP,830025205-2,Convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",aeschivor@aes.com,2020-12-29
4,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,891200200-8,Convencional,Activo,NO,0,NARINO,PASTO,gerencia@cedenar.com.co,2020-12-29
5,CELSIA TOLIMA S.A. E.S.P.,901280981-9,Convencional,Activo,NO,0,TOLIMA,IBAGUE,notificacionesceltolima@celsia.com,2020-12-29
6,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,890500514-9,Convencional,Activo,SI,3,NORTE DE SANTANDER,CUCUTA,movilidadelectricacens@epm.com.co,2020-12-29
7,COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,891900101-0,Convencional,Activo,NO,0,VALLE DEL CAUCA,TULUA,cetsa@celsia.com,2020-12-29
8,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,890800128-6,Convencional,Activo,SI,5,CALDAS,MANIZALES,notificaciones.judiciales@chec.com.co,2020-12-29
9,CODENSA S.A. ESP,830037248-0,Convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",servicioalclientecodensa@enel.com,2020-12-29
10,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,900366010-1,Convencional,Activo,NO,0,CAUCA,POPAYAN,cia.energetica@ceoesp.com,2020-12-29
11,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,815000896-9,Convencional,Activo,NO,0,VALLE DEL CAUCA,PALMIRA,dicelsa@dicel.com.co,2020-12-29
12,DICELER S.A E.S.P.,815001901-2,Convencional,Activo,NO,0,VALLE DEL CAUCA,RESTREPO,dicelsa@dicel.com.co,2020-12-29
13,EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,818001629-4,Convencional,Activo,NO,0,CHOCO,QUIBDO,dispac@dispac.com,2020-12-29
14,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,846000553-0,Convencional,Activo,NO,0,PUTUMAYO,PUERTO ASIS,eebp@eebpsa.com.co,2020-12-29
15,E2 ENERGIA EFICIENTE S.A. E.S.P.,802025052-0,Convencional,Activo,NO,0,ATLANTICO,BARRANQUILLA,correo@e2energiaeficiente.com,2020-12-29
16,EMPRESA DE ENERGIA DE BOYACA S.A. ESP,891800219-1,Convencional,Activo,NO,0,BOYACA,TUNJA,documentacion@ebsa.com.co,2020-12-29
17,EMPRESA COMERCIALIZADORA DE ENERGÍA ELÉCTRICA DE LA COSTA ,901225715-2,Convencional,Activo,NO,0,NARINO,EL CHARCO,infoecelcos01@gmail.com,2020-12-29
18,Empresa Prestadora de Servicios Publicos ECO LOGICA S.A.S. E.S.P.,900729389-4,Convencional,Activo,NO,0,VALLE DEL CAUCA,PALMIRA,comercial@ecologicaesp.com,2020-12-29
19,ECOPETROL ENERGÍA S.A.S. E.S.P.,901165502-2,Convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",juan.molinares@ecopetrolenergiaesp.com.co,2020-12-29
20,EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,800052640-9,Convencional,Activo,SI,6,QUINDIO,ARMENIA,secretaria_general@edeq.com.co,2020-12-29
21,EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,890904996-1,Convencional,Activo,SI,21,ANTIOQUIA,MEDELLIN,epm@epm.com.co,2020-12-29
22,EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,846000241-8,Convencional,Activo,NO,0,PUTUMAYO,MOCOA,secretaria@energiaputumayo.com,2020-12-29
23,ELECTRIFICADORA DEL CAQUETA S.A. ESP,891190127-3,Convencional,Activo,NO,0,CAQUETA,FLORENCIA,infoelectrocaqueta@electrocaqueta.com.co,2020-12-29
24,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,891180001-1,Convencional,Activo,NO,0,HUILA,NEIVA,gerencia@electrohuila.co,2020-12-29
25,EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL VICHADA S.A,842000155,Convencional,Activo,NO,0,VICHADA,PUERTO CARRENO,gerenciaelec@gmail.com,2020-12-29
26,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,890399003-4,Convencional,Activo,NO,0,VALLE DEL CAUCA,CALI,genergia@emcali.comco,2020-12-29
27,EMPRESAS MUNICIPALES DE CARTAGO E.S.P.,836000349-8,Convencional,Activo,NO,0,VALLE DEL CAUCA,CARTAGO,contactenos@emcartago.com,2020-12-29
28,EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,891500061-8,Convencional,Activo,NO,0,CAUCA,POPAYAN,gerencia@emeesaesp.com,2020-12-29
29,EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P. ,846000060-1,Convencional,Activo,NO,0,PUTUMAYO,SIBUNDOY,emevasi@emevasi.com,2020-12-29
30,EMGESA S.A. E.S.P.,860063875-8,Convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",emlinea@enel.com,2020-12-29
31,ELECTRIFICADORA DEL META S.A. E.S.P.,892002210-6,Convencional,Activo,NO,0,META,VILLAVICENCIO,gerencia@emsa-esp.com.co,2020-12-29
32,EMPRESA DE ENERGIA DE ARAUCA  S.A. E.S.P.,892099499-3,Convencional,Activo,NO,0,ARAUCA,ARAUCA,gerencia@enelar.com.co,2020-12-29
33,EMPRESA DE ENERGIA DE CASANARE SA ESP,844004576-0,Convencional,Activo,NO,0,CASANARE,YOPAL,correspondencia@enerca.com,2020-12-29
34,ENERCO S.A. E.S.P.,805016928-1,Convencional,Activo,NO,0,VALLE DEL CAUCA,CALI,enerco@enercoesp.com,2020-12-29
35,ENERGETICOS S.A.S.  E.S.P. DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA GAS E HIDROCARBUROS,830092965-7,Convencional,Activo,NO,0,VALLE DEL CAUCA,CALI,energeticossaesp@gmail.com.co,2020-12-29
36,EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,816002019-9,Convencional,Activo,SI,6,RISARALDA,PEREIRA,notificacionesjudiciales@eep.com.co,2020-12-29
37,ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,900044461-6,Convencional,Activo,NO,0,ATLANTICO,BARRANQUILLA,serviciosjuridicoseca@electricaribe.co,2020-12-29
38,EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,822004680-9,Convencional,Activo,NO,0,GUAVIARE,SAN JOSE DEL GUAVIARE,gerencia@energuaviare.com.co,2020-12-29
39,ENERTOTAL S.A. E.S.P.,900039901-5,Convencional,Activo,NO,0,VALLE DEL CAUCA,CALI,enertotal@enertotalesp.com,2020-12-29
40,EMPRESA DE SERVICIOS PUBLICOS DE SANTANDER S.A.E.S.P.,900648934-0,Convencional,Activo,NO,0,SANTANDER,BUCARAMANGA,esantoperaciones@esant.com.co,2020-12-29
41,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,890201230-1,Convencional,Activo,SI,6,SANTANDER,BUCARAMANGA,essa@essa.com.co,2020-12-29
42,ISA INTERCOLOMBIA S.A. E.S.P,900667590,Convencional,Activo,NO,0,ANTIOQUIA,MEDELLIN,notificacionesjudiciales@intercolombia.com,2020-12-29
43,CELSIA COLOMBIA S.A. E.S.P.,800249860-1,Convencional,Activo,SI,12,VALLE DEL CAUCA,YUMBO,notificacionesjudicialesepsa@celsia.com,2020-12-29
44,PROFESIONALES EN ENERGÍA S.A E.S.P,900341483-1,Convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",peesa@peesa.com,2020-12-29
45,QI ENERGY SAS ESP,900677732-3,Convencional,Activo,NO,0,VALLE DEL CAUCA,CALI,gerencia@qienergy.co,2020-12-29
46,RENOVATIO TRADING AMERICAS SAS ESP,900589503-6,Convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",aarias@gruporenovatio.com,2020-12-29
47,RIOPAILA ENERGÍA SAS ESP,900652334-7,Convencional,Activo,NO,0,VALLE DEL CAUCA,ZARZAL,notificaciones@riopailaenergia.com,2020-12-29
48,RUITOQUE S.A. E.S.P.,804001062-8,Convencional,Activo,NO,0,SANTANDER,FLORIDABLANCA,escribanos@ruitoqueesp.com,2020-12-29
49,TERPEL ENERGIA S.A.S E.S.P,900433032-9,Convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",infoterpel@terpel.com,2020-12-29
50,VATIA S.A. E.S.P.,817001892-1,Convencional,Activo,NO,0,VALLE DEL CAUCA,CALI,vatia@vatia.com.co,2020-12-29
51,EMPRESA COMUNITARIA DE SERVICIOS PUBLICOS DOMICILIARIOS DE CARTAGENA DEL CHAIRA S.A.S E.S.P,900943044,Convencional,Activo,NO,0,CAQUETA,CARTAGENA DEL CHAIRA,alexremo_1980@hotmail.com,2020-12-29
52,PROELECTRICA & CIA. S.C.A. E.S.P.,800149537-6,Convencional,Activo,NO,0,CALDAS,MANIZALES,notificacionesjudiciales@proelectrica.com,2020-12-29
54,CENTRALES ELECTRICAS DEL CAUCA S.A. E.S.P.,891500025-2,Convencional,Activo,NO,0,CAUCA,POPAYAN,notificacionesjudiciales@cedelca.com.co,2020-12-29
